Data,DataExcel,Regiao,Sistema,Classe,TipoConsumidor,Consumo,Consumidores,DataVersao
20250401,2025-04-01,Nordeste,NORDESTE,Rural,Cativo,453874.658,993381,2025-07-21
20250401,2025-04-01,Nordeste,NORDESTE,Rural,Livre,24851.808,202,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Comercial,Cativo,58775.696,62215,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Comercial,Livre,49667.457,642,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Industrial,Cativo,9573.112,2708,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Industrial,Livre,653637.593,184,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Outros,Cativo,106952.37200000002,40621,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Outros,Livre,1357.686,61,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Residencial,Cativo,406666.422,2584620,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Residencial,Livre,96.608,4,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Rural,Cativo,23942.124,121669,2025-07-21
20250401,2025-04-01,Nordeste,NORTE INTERLIGADO,Rural,Livre,2141.929,28,2025-07-21
20250401,2025-04-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,996.755,285,2025-07-21
20250401,2025-04-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,20.599,4,2025-07-21
20250401,2025-04-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,535.666,115,2025-07-21
20250401,2025-04-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,924.837,809,2025-07-21
20250401,2025-04-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,5.889,6,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Comercial,Cativo,242788.808,261189,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Comercial,Livre,155195.579,1522,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Industrial,Cativo,45045.41799999999,7038,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Industrial,Livre,1438938.828,859,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Outros,Cativo,222923.15099999995,43284,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Outros,Livre,30824.063000000002,265,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Residencial,Cativo,784145.482,4126185,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Residencial,Livre,2.018,1,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Rural,Cativo,49511.312999999995,295593,2025-07-21
20250401,2025-04-01,Norte,NORTE INTERLIGADO,Rural,Livre,5871.676,77,2025-07-21
